asset,Date,AdrActCnt
eth,2020-07-09,511545
eth,2020-07-10,506070
eth,2020-07-11,569659
eth,2020-07-12,567829
eth,2020-07-13,529772
eth,2020-07-14,520157
eth,2020-07-15,520924
eth,2020-07-16,447490
eth,2020-07-17,475009
eth,2020-07-18,447224
eth,2020-07-19,462835
eth,2020-07-20,478223
eth,2020-07-21,440067
eth,2020-07-22,470998
eth,2020-07-23,491363
eth,2020-07-24,487996
eth,2020-07-25,510336
eth,2020-07-26,519206
eth,2020-07-27,551497
eth,2020-07-28,596151
eth,2020-07-29,523675
eth,2020-07-30,521352
eth,2020-07-31,550668
eth,2020-08-01,562801
eth,2020-08-02,626146
eth,2020-08-03,575598
eth,2020-08-04,594577
eth,2020-08-05,611242
eth,2020-08-06,582260
eth,2020-08-07,529429
eth,2020-08-08,532607
eth,2020-08-09,493476
eth,2020-08-10,500790
eth,2020-08-11,473147
eth,2020-08-12,440096
eth,2020-08-13,486979
eth,2020-08-14,520788
eth,2020-08-15,600612
eth,2020-08-16,549697
eth,2020-08-17,526760
eth,2020-08-18,467068
eth,2020-08-19,474989
eth,2020-08-20,467326
eth,2020-08-21,492967
eth,2020-08-22,555166
eth,2020-08-23,582203
eth,2020-08-24,489798
eth,2020-08-25,509157
eth,2020-08-26,516867
eth,2020-08-27,538449
eth,2020-08-28,510764
eth,2020-08-29,453869
eth,2020-08-30,390040
eth,2020-08-31,412302
eth,2020-09-01,434255
eth,2020-09-02,405978
eth,2020-09-03,410463
eth,2020-09-04,476106
eth,2020-09-05,403351
eth,2020-09-06,544008
eth,2020-09-07,470998
eth,2020-09-08,520483
eth,2020-09-09,406766
eth,2020-09-10,365959
eth,2020-09-11,356479
eth,2020-09-12,405023
eth,2020-09-13,418818
eth,2020-09-14,384998
eth,2020-09-15,408754
eth,2020-09-16,391793
eth,2020-09-17,499706
eth,2020-09-18,480140
eth,2020-09-19,481384
eth,2020-09-20,465984
eth,2020-09-21,486381
eth,2020-09-22,431660
eth,2020-09-23,454852
eth,2020-09-24,487588
eth,2020-09-25,455205
eth,2020-09-26,491205
eth,2020-09-27,488227
eth,2020-09-28,434364
eth,2020-09-29,429114
eth,2020-09-30,412900
eth,2020-10-01,447266
eth,2020-10-02,458931
eth,2020-10-03,470605
eth,2020-10-04,472428
eth,2020-10-05,406952
eth,2020-10-06,423241
eth,2020-10-07,428105
eth,2020-10-08,430143
eth,2020-10-09,463202
eth,2020-10-10,472917
eth,2020-10-11,567079
eth,2020-10-12,496784
eth,2020-10-13,507728
eth,2020-10-14,499023
eth,2020-10-15,622855
eth,2020-10-16,649222
eth,2020-10-17,654595
eth,2020-10-18,622632
eth,2020-10-19,490775
eth,2020-10-20,484476
eth,2020-10-21,499062
eth,2020-10-22,519373
eth,2020-10-23,518375
eth,2020-10-24,603627
eth,2020-10-25,586099
eth,2020-10-26,491011
eth,2020-10-27,516481
eth,2020-10-28,485592
eth,2020-10-29,437339
eth,2020-10-30,487850
eth,2020-10-31,523774
eth,2020-11-01,524955
eth,2020-11-02,489991
eth,2020-11-03,506038
eth,2020-11-04,624329
eth,2020-11-05,501093
eth,2020-11-06,572051
eth,2020-11-07,543960
eth,2020-11-08,606393
eth,2020-11-09,544076
eth,2020-11-10,490165
eth,2020-11-11,644637
eth,2020-11-12,587185
eth,2020-11-13,521391
eth,2020-11-14,570886
eth,2020-11-15,502932
eth,2020-11-16,496245
eth,2020-11-17,516398
eth,2020-11-18,498948
eth,2020-11-19,497407
eth,2020-11-20,528074
eth,2020-11-21,576465
eth,2020-11-22,555648
eth,2020-11-23,555902
eth,2020-11-24,543358
eth,2020-11-25,544007
eth,2020-11-26,550014
eth,2020-11-27,557981
eth,2020-11-28,688338
eth,2020-11-29,738442
eth,2020-11-30,526154
eth,2020-12-01,557803
eth,2020-12-02,463101
eth,2020-12-03,497765
eth,2020-12-04,490687
eth,2020-12-05,561872
eth,2020-12-06,503911
